league_name,2009/2010,2010,2010/2011,2011,2011/2012,2012,2012/2013,2013,2013/2014,2014,2014/2015,2015,2015/2016,2016,2016/2017,2017,2017/2018,2018,2018/2019,2019,2019/2020,2020,2020/2021,2021,2021/2022,2022,2022/2023,2023,2023/2024,2024,2024/2025,2025,2026
Brazil - Serie A,,31.32,,27.63,,27.63,,28.42,,24.21,,23.95,,24.8,,27.11,,28.95,,25.79,,28.42,,29.74,,28.42,,25.79,,26.58,,,
Brazil - Serie B,,22.89,,27.11,,22.37,,22.89,,23.68,,27.11,,28.16,,28.68,,31.32,,33.42,,28.16,,30.0,,31.84,,29.21,,25.26,,,
Brazil - Serie C,,,,,,,,,,,,,,,,,,,,,,29.17,,33.33,,25.79,,32.11,,29.47,,,
Brazil - Serie C - Group A,,,,,,,,20.0,,33.33,,25.56,,36.67,,34.44,,34.44,,26.67,,32.22,,42.22,,,,,,,,,
Brazil - Serie C - Group B,,,,,,,,33.33,,32.22,,38.89,,25.56,,37.78,,18.89,,43.33,,34.44,,22.22,,,,,,,,,
Bulgaria - Parva liga,22.5,,22.08,,21.25,,20.0,,18.68,,18.18,,25.69,,21.98,,26.37,,18.13,,25.68,,27.47,,25.27,,22.92,,21.25,,23.5,,
Bulgaria - Play-off,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,100.0,,,,
Burundi - Primus League,,,,,,,,,,,,,,,,,,,,,27.08,,22.5,,27.92,,28.33,,22.5,,23.91,,
Cameroon - Elite One,,,,,,,,35.16,,24.56,,33.33,,34.1,,36.6,,34.64,,37.5,30.04,,34.0,,,29.86,30.0,,32.1,,26.67,,
Canada - Canadian Premier League,,,,,,,,,,,,,,,,,,,,17.14,,32.14,,27.68,,24.11,,25.0,,29.46,20.0,,
Canada - Canadian Soccer League,,27.56,,18.23,,19.32,,11.36,,20.0,,15.91,,23.81,,19.64,,15.28,,12.22,,15.0,,,,,,,,,,,
Chile - Primera Division,,27.45,,24.18,,24.18,,22.22,23.53,,18.95,,19.17,,25.83,,29.17,27.92,,27.68,30.12,29.08,,26.84,,28.33,,24.58,,21.67,,27.03,
China - Super League,,32.92,,29.58,,30.42,,27.92,,28.33,,28.75,,26.67,,25.42,,22.92,,22.08,,24.11,,26.79,,20.26,,27.92,,22.92,,37.5,
Colombia - Primera Division,,,,24.69,,35.19,,36.42,,26.54,,32.0,,29.0,,29.5,,25.26,,35.0,,34.33,,33.92,,27.0,,35.0,,26.32,,32.56,
Costa Rica - Primera Division,,,23.96,,30.91,,25.0,,30.3,,19.7,,25.76,,25.76,,30.3,,21.97,,25.76,,25.0,,28.03,,22.92,,21.21,,26.52,,
Croatia - HNL,25.0,,26.67,,25.83,,25.76,,23.89,,25.56,,30.56,,23.89,,25.0,,23.33,,23.89,,23.33,,23.89,,28.89,,23.33,,30.77,,
Croatia - Play-off,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,
Croatia - Prva NL,,,,,,,,,,,32.73,,24.75,,28.28,,22.73,,27.47,,25.0,,27.45,,23.33,,28.79,,26.26,,33.33,,
Cyprus - Division 1,,,25.82,,23.08,,23.63,,20.88,,25.76,,25.82,,24.18,,21.98,,22.73,,26.52,,25.27,,27.27,,20.33,,21.98,,22.53,,
Czech Republic - 1. Liga,26.25,,24.17,,22.92,,27.92,,25.0,,24.17,,24.58,,28.75,,28.33,,19.58,,25.0,,26.47,,25.42,,24.58,,26.25,,23.19,,
Czech Republic - 2. Liga,27.5,,22.5,,25.0,,25.0,,21.25,,22.92,,32.86,,24.58,,25.42,,23.33,,22.5,,25.82,,25.42,,27.08,,25.42,,31.79,,
Czech Republic - Play-off,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,50.0,,25.0,,,,
Denmark - 1. Division,,,27.08,,25.82,,28.79,,18.69,,35.86,,21.21,,26.26,,27.92,,26.77,,28.28,,19.7,,24.24,,18.94,,24.24,,20.45,,
Denmark - 2. Division,,,,,,,,,,,,,,,,,,,,,22.22,,,,31.06,,21.21,,26.52,,23.15,,
Denmark - 2. Division - Group 1,,,,,,,,,22.5,,27.5,,21.43,,23.21,,23.21,,25.76,,26.47,,21.43,,,,,,,,,,
Denmark - 2. Division - Group 2,,,,,,,,,24.58,,20.42,,23.64,,25.0,,19.64,,25.76,,25.49,,21.43,,,,,,,,,,
Denmark - 2. Division - Group 3,,,,,,,,,,,,,17.86,,25.0,,19.64,,,,,,,,,,,,,,,,
Denmark - Superliga,23.23,,30.3,,24.75,,26.26,,29.29,,25.25,,21.21,,28.57,,26.92,,26.37,,21.43,,25.76,,30.3,,28.79,,25.0,,31.06,,
Ecuador - Liga Pro,,,,28.79,,27.27,,25.0,,25.0,,26.52,,26.52,,35.61,,25.76,,22.5,,26.67,,28.33,,27.5,,20.83,,28.33,,32.5,
Egypt - Premier League,35.56,,33.33,,31.69,,28.47,,37.73,,31.05,,32.66,,29.74,,31.7,,34.8,,31.7,,36.27,,34.31,,33.33,,30.07,,30.72,,
England - Championship,29.35,,26.81,,26.99,,26.27,,28.26,,28.62,,31.16,,23.55,,26.81,,29.35,,26.99,,25.18,,25.0,,26.99,,23.37,,28.95,,
England - EFL Cup,,,,,,,,,5.71,,5.71,,13.89,,8.57,,2.86,,25.71,,26.47,,31.43,,41.18,,17.14,,30.56,,16.13,,
England - FA Community Shield,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,,,100.0,,
England - FA Cup,,,,,,,,,18.55,,18.89,,17.97,,19.37,,18.1,,19.73,,18.64,,20.87,,21.22,,18.94,,17.67,,21.23,,
England - Football League Trophy,,,,,,,,,25.0,,6.25,,18.75,,,,,,,,,,,,,,,,,,,,
England - Isthmian League Premier Division,,,,,,,,,,,,,,,,,,,,,23.66,,13.98,,21.65,,22.29,,21.65,,20.83,,
England - League One,27.54,,24.82,,29.89,,26.99,,25.72,,26.27,,25.0,,27.9,,26.99,,26.63,,27.75,,23.91,,26.45,,25.36,,24.46,,24.43,,
England - League Two,25.54,,30.25,,25.18,,27.17,,31.34,,25.18,,25.54,,25.91,,25.91,,26.81,,30.23,,27.36,,27.54,,28.99,,23.73,,27.21,,
England - National League,25.69,,28.8,,25.91,,25.36,,23.73,,25.0,,25.54,,23.01,,29.53,,25.91,,27.49,,22.73,,22.92,,25.91,,25.54,,29.31,,
England - National League North,,,,,,,21.0,,25.97,,25.11,,26.19,,24.89,,21.43,,26.84,,24.72,,30.3,,26.19,,28.99,,21.92,,23.26,,
England - National League South,,,,,,,22.08,,22.08,,21.19,,26.19,,22.08,,24.24,,23.16,,25.81,,21.82,,23.33,,23.01,,24.82,,26.12,,
England - Northern Premier League Premier Division,,,,,,,,,,,,,,,,,,,,,23.77,,24.14,,22.51,,24.46,,18.33,,25.78,,
England - Southern League Premier Central,,,,,,,,,,,,,,,,,,,,,19.2,,32.53,,23.33,,22.29,,21.43,,22.83,,
England - Southern League Premier South,,,,,,,,,,,,,,,,,,,,,21.41,,24.29,,19.05,,20.13,,23.16,,29.58,,
Estonia - Meistriliiga,,16.67,,17.22,,21.67,,13.33,,18.89,,18.33,,18.33,,17.22,,19.44,,17.78,,17.86,,17.31,,19.44,,27.78,,22.22,,13.33,
Europe - European Championship,,,,,,18.33,,,,,,,,18.08,,,,,,,,14.4,,,,,,,,18.7,,,
Europe - UEFA Champions League,,,17.71,,29.17,,25.0,,25.0,,16.67,,37.5,,12.5,,20.0,,18.75,,34.38,,6.25,,0.0,,0.0,,0.0,,20.0,,
Europe - UEFA Europa Conference League,,,,,,,,,,,,,,,,,,,,,,,,,22.34,,21.17,,21.38,,20.7,,
Europe - UEFA Europa League,,,25.69,,25.0,,22.58,,27.63,,19.23,,27.45,,20.0,,14.0,,18.75,,20.21,,10.64,,25.0,,32.35,,20.59,,15.0,,
Europe - UEFA Nations League - League A,,,,,,,,,,,,,,,,,,,,,,,20.83,,,,22.92,,,,29.17,,
