league_name,2009/2010,2010,2010/2011,2011,2011/2012,2012,2012/2013,2013,2013/2014,2014,2014/2015,2015,2015/2016,2016,2016/2017,2017,2017/2018,2018,2018/2019,2019,2019/2020,2020,2020/2021,2021,2021/2022,2022,2022/2023,2023,2023/2024,2024,2024/2025,2025,2026
Brazil - Serie A,,48.16,,50.53,,45.53,,46.05,,38.95,,45.79,,43.8,,40.53,,37.37,,40.79,,46.05,,39.47,,43.42,,45.0,,47.37,,,
Brazil - Serie B,,54.21,,49.21,,52.11,,49.47,,44.21,,45.0,,42.89,,38.42,,38.42,,34.47,,39.47,,39.47,,32.63,,36.58,,37.37,,,
Brazil - Serie C,,,,,,,,,,,,,,,,,,,,,,54.17,,33.33,,45.26,,35.79,,42.63,,,
Brazil - Serie C - Group A,,,,,,,,50.91,,43.33,,47.78,,30.0,,31.11,,36.67,,43.33,,42.22,,30.0,,,,,,,,,
Brazil - Serie C - Group B,,,,,,,,36.67,,32.22,,42.22,,44.44,,37.78,,45.56,,27.78,,41.11,,41.11,,,,,,,,,
Bulgaria - Parva liga,49.58,,47.08,,50.42,,47.92,,52.75,,46.97,,38.89,,42.31,,42.31,,42.86,,43.17,,44.51,,43.96,,40.42,,46.25,,42.5,,
Bulgaria - Play-off,,,,,,,,,,,,,,,,,,,,,50.0,,0.0,,100.0,,0.0,,0.0,,,,
Burundi - Primus League,,,,,,,,,,,,,,,,,,,,,47.92,,42.92,,37.08,,41.67,,42.5,,48.91,,
Cameroon - Elite One,,,,,,,,30.77,,35.38,,28.76,,29.18,,27.78,,31.7,,29.41,34.39,,35.5,,,40.28,39.09,,35.8,,34.17,,
Canada - Canadian Premier League,,,,,,,,,,,,,,,,,,,,42.86,,46.43,,48.21,,47.32,,50.0,,52.68,40.0,,
Canada - Canadian Soccer League,,55.13,,62.98,,63.07,,70.45,,63.33,,65.91,,61.9,,73.21,,68.06,,83.33,,70.0,,,,,,,,,,,
Chile - Primera Division,,56.21,,58.17,,55.56,,60.13,45.1,,56.86,,53.33,,55.0,,40.0,49.17,,46.43,49.4,50.0,,46.32,,47.5,,52.5,,54.58,,48.65,
China - Super League,,42.5,,42.5,,52.08,,48.33,,52.5,,54.17,,50.83,,59.58,,58.75,,64.17,,56.25,,50.89,,56.54,,52.08,,58.33,,50.0,
Colombia - Primera Division,,,,51.23,,44.44,,49.38,,48.77,,45.0,,46.5,,39.5,,38.95,,37.5,,44.28,,36.26,,37.0,,40.0,,37.89,,36.05,
Costa Rica - Primera Division,,,54.17,,53.64,,50.0,,53.03,,47.73,,49.24,,56.82,,59.09,,58.33,,54.55,,50.0,,50.76,,60.42,,56.82,,51.52,,
Croatia - HNL,47.5,,38.33,,43.75,,45.45,,56.11,,55.0,,45.0,,39.44,,50.56,,52.22,,46.11,,42.78,,55.0,,46.67,,51.11,,49.23,,
Croatia - Play-off,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,50.0,,100.0,,,,
Croatia - Prva NL,,,,,,,,,,,39.39,,52.02,,38.38,,37.88,,41.76,,48.03,,56.21,,51.25,,45.96,,47.47,,35.61,,
Cyprus - Division 1,,,52.2,,32.97,,47.8,,53.85,,46.21,,56.04,,57.14,,57.14,,48.48,,50.0,,48.35,,40.91,,43.96,,55.49,,52.2,,
Czech Republic - 1. Liga,42.92,,49.58,,50.0,,46.67,,52.5,,48.33,,55.42,,44.17,,43.75,,51.67,,47.5,,50.33,,53.75,,61.67,,50.83,,52.17,,
Czech Republic - 2. Liga,47.5,,48.33,,44.17,,48.75,,46.67,,50.0,,44.76,,53.75,,52.92,,50.42,,60.0,,47.8,,52.5,,52.5,,51.25,,50.33,,
Czech Republic - Play-off,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,0.0,,25.0,,,,
Denmark - 1. Division,,,58.33,,58.79,,50.0,,58.59,,40.4,,51.52,,54.04,,51.27,,56.57,,54.55,,53.79,,59.09,,58.33,,58.33,,54.55,,
Denmark - 2. Division,,,,,,,,,,,,,,,,,,,,,55.56,,,,45.45,,64.39,,55.3,,43.52,,
Denmark - 2. Division - Group 1,,,,,,,,,62.5,,56.25,,53.57,,57.14,,67.86,,48.48,,50.0,,55.49,,,,,,,,,,
Denmark - 2. Division - Group 2,,,,,,,,,65.0,,71.25,,60.0,,53.57,,60.71,,50.0,,60.78,,52.2,,,,,,,,,,
Denmark - 2. Division - Group 3,,,,,,,,,,,,,67.86,,67.86,,55.36,,,,,,,,,,,,,,,,
Denmark - Superliga,46.97,,52.53,,51.52,,54.55,,52.02,,43.43,,50.0,,49.45,,54.4,,52.75,,59.34,,56.06,,44.7,,48.48,,53.79,,57.58,,
Ecuador - Liga Pro,,,,45.45,,46.21,,56.06,,40.91,,44.7,,50.0,,40.15,,47.73,,49.58,,59.17,,52.5,,40.0,,55.83,,45.0,,47.5,
Egypt - Premier League,36.4,,41.67,,45.07,,36.5,,34.55,,42.89,,35.02,,38.56,,41.83,,44.26,,40.52,,44.44,,37.25,,40.52,,43.14,,35.29,,
England - Championship,45.47,,51.63,,47.46,,51.99,,47.28,,50.18,,46.2,,49.28,,47.64,,49.82,,49.46,,40.94,,46.74,,44.02,,52.17,,44.3,,
England - EFL Cup,,,,,,,,,65.71,,57.14,,63.89,,65.71,,68.57,,51.43,,70.59,,48.57,,55.88,,51.43,,50.0,,60.22,,
England - FA Community Shield,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,0.0,,,0.0,,
England - FA Cup,,,,,,,,,71.95,,68.66,,71.43,,66.67,,72.4,,65.02,,69.09,,66.09,,60.47,,65.53,,67.51,,57.23,,
England - Football League Trophy,,,,,,,,,62.5,,43.75,,37.5,,,,,,,,,,,,,,,,,,,,
