jan
jan
01-99-2021 14:00 ; Algeria >  Ligue 1 2020/2021 ; MC Alger - CS Constantine ; 1:0 (0:0) ; 59 ;  ; 26 ; 2721
01-99-2021 13:30 ; Algeria >  Ligue 1 2020/2021 ; NA Hussein Dey - ES Sétif ; 0:1 (0:0) ; 66 ;  ; 26 ; 1743
01-99-2021 13:25 ; Bahrain >  Premier League 2020/2021 ; Manama Club - Budaiya Club ; 1:0 (0:0) ;  ;  ;  ; 
01-99-2021 16:00 ; Bahrain >  Premier League 2020/2021 ; Al Najma - Al Ahli ; 0:1 (0:0) ;  ;  ;  ; 
01-99-2021 15:00 ; Egypt >  Premiership 2020/2021 ; Pyramids FC - El Entag El Harby ; 3:2 (1:1) ; 18 ; 45 ; 8 ; 1610
01-99-2021 17:30 ; Egypt >  Premiership 2020/2021 ; Al Ahly SC - Wadi Degla SC ; 0:0 (0:0) ;  ;  ; 18 ; 237
01-99-2021 17:30 ; England >  Premier League 2020/2021 ; Everton FC - West Ham United ; 0:1 (0:0) ; 86 ;  ; 152 ; 251174
01-99-2021 20:00 ; England >  Premier League 2020/2021 ; Manchester United - Aston Villa ; 2:1 (1:0) ; 40 ; 58 ; 201 ; 368259
01-99-2021 17:30 ; England >  Championship 2020/2021 ; Sheffield Wednesday - Derby County ; 1:0 (0:0) ; 61 ;  ; 139 ; 186222
01-99-2021 15:00 ; Ghana >  Premier League 2020/2021 ; King Faisal FC - Dreams FC ; 1:1 (1:0) ;  ;  ;  ; 
01-99-2021 11:00 ; Iraq >  Iraq Stars League 2020/2021 ; Al Hudood - Al Najaf ; 2:1 (1:1) ;  ;  ;  ; 
01-99-2021 11:00 ; Iraq >  Iraq Stars League 2020/2021 ; Al Samawa - Al Kahrabaa ; 1:0 (1:0) ;  ;  ;  ; 
01-99-2021 13:00 ; Iraq >  Iraq Stars League 2020/2021 ; Al Quwa Al Jawiya - Naft Maysan ; 3:1 (2:1) ;  ;  ;  ; 
01-99-2021 15:00 ; Iraq >  Iraq Stars League 2020/2021 ; Naft Al Wasat - Naft Al Basra ; 2:1 (1:0) ;  ;  ;  ; 
01-99-2021 17:00 ; Iraq >  Iraq Stars League 2020/2021 ; Al Talaba - Al Karkh SC ; 1:2 (0:0) ;  ;  ;  ; 
01-99-2021 05:40 ; Japan >  Emperor's Cup 2020 > Final ; Kawasaki Frontale - Gamba Osaka ; 1:0 (0:0) ; 55 ;  ; 46 ; 8784
01-99-2021 12:45 ; Saudi Arabia >  Saudi Pro League 2020/2021 ; Damac FC - Al Fateh ; 1:2 (0:1) ;  ;  ;  ; 
